생년월일,연도,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,RISP,
19870309,2022,0.219,130,359,302,38,66,9,1,2,83,37,20,3,31,0,3,36,13,0.275,0.295,0.57,2.38,
19910830,2022,0.222,18,20,18,2,4,1,0,0,5,4,2,0,0,0,0,3,2,0.278,0.222,0.5,0.222,
19980330,2022,0.298,140,564,494,68,147,24,4,2,185,56,6,2,60,1,2,81,5,0.374,0.375,0.749,0.31,
19990325,2022,0.25,10,16,12,0,3,0,0,0,3,1,0,1,3,0,0,3,0,0.25,0.375,0.625,0,
19960617,2022,0.301,98,75,73,16,22,2,0,0,24,4,1,0,1,0,0,18,1,0.329,0.311,0.64,0.333,
19930217,2022,0.222,67,259,243,21,54,13,1,11,102,35,0,4,9,0,3,68,3,0.42,0.255,0.675,0.158,
19980320,2022,0.179,57,168,140,18,25,6,0,4,43,14,3,1,21,0,3,56,0,0.307,0.297,0.604,0.107,
19990127,2022,0.318,129,566,516,81,164,18,7,4,208,48,0,3,47,3,0,83,9,0.403,0.373,0.776,0.295,
19921024,2022,0.203,115,231,197,14,40,7,0,5,62,21,9,1,17,0,7,68,5,0.315,0.288,0.603,0.103,
19930328,2022,0.206,39,156,136,21,28,6,1,4,48,19,0,0,19,0,1,40,4,0.353,0.308,0.661,0.2,
19881217,2022,0.207,92,157,140,16,29,4,0,3,42,20,3,1,10,0,3,27,4,0.3,0.273,0.573,0.211,
19940522,2022,0.155,27,94,84,10,13,4,1,1,22,6,0,1,9,0,0,13,5,0.262,0.234,0.496,0.176,
19940823,2022,0.257,36,82,74,13,19,0,2,3,32,14,1,1,6,0,0,14,2,0.432,0.309,0.741,0.455,
19890205,2022,0.25,60,80,72,9,18,2,0,0,20,5,3,0,4,0,1,6,1,0.278,0.299,0.577,0.15,
19990729,2022,0.245,62,264,237,24,58,12,0,6,88,29,1,2,23,2,1,44,6,0.371,0.312,0.683,0.23,
19901206,2022,0.203,41,85,74,8,15,2,0,1,20,6,0,1,7,0,3,26,2,0.27,0.294,0.564,0.19,
20010314,2022,0.333,2,3,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0.667,0.333,1,1,
19840331,2022,0.12,100,194,166,13,20,3,0,3,32,10,2,1,24,0,1,70,3,0.193,0.234,0.427,0.122,
19890111,2022,0.283,62,114,106,13,30,7,1,2,45,14,1,0,7,0,0,21,2,0.425,0.327,0.752,0.296,
19940717,2022,0.292,80,137,120,23,35,7,0,1,45,12,4,0,12,0,1,20,5,0.375,0.361,0.736,0.258,
19910304,2022,0.301,111,404,346,56,104,14,0,7,139,48,11,4,41,0,2,63,7,0.402,0.374,0.776,0.29,
19920906,2022,0.311,127,554,514,83,160,29,7,17,254,77,0,4,34,4,2,81,11,0.494,0.354,0.848,0.296,
19901230,2022,0.227,82,280,238,30,54,5,1,5,76,22,2,1,31,1,8,44,3,0.319,0.335,0.654,0.218,
19900627,2022,0.296,139,576,510,67,151,34,1,16,235,85,0,7,51,5,8,86,8,0.461,0.365,0.826,0.306,
19960701,2022,0.324,44,34,34,19,11,0,0,0,11,3,0,0,0,0,0,7,1,0.324,0.324,0.648,0.154,
19921010,2022,0.189,39,59,53,4,10,2,0,1,15,4,0,0,6,0,0,19,1,0.283,0.271,0.554,0.231,
19890318,2022,0.275,20,41,40,3,11,2,0,0,13,2,0,0,1,0,0,14,0,0.325,0.293,0.618,0.2,
19871226,2022,0.26,94,341,300,36,78,13,2,0,95,23,6,2,30,0,3,56,8,0.317,0.331,0.648,0.253,
19900724,2022,0.221,30,100,95,9,21,5,0,2,32,4,0,1,4,0,0,22,1,0.337,0.25,0.587,0.133,
