생년월일,연도,ERA,G,W,L,SV,HLD,WPCT,H,HR,BB,HBP,SO,R,ER,WHIP
19970403,2022,4.21,56,4,8,7,7,0.333,44,7,29,4,39,26,24,1.42
19951003,2022,4.36,78,3,7,0,27,0.3,64,5,35,3,58,36,32,1.5
19940603,2022,4.4,52,3,4,1,6,0.429,39,5,21,2,45,30,22,1.33
19930722,2022,5.4,30,0,2,0,1,0,33,1,12,7,16,25,18,1.5
19950725,2022,4.36,29,6,11,0,0,0.353,143,16,84,8,129,82,79,1.39
19870513,2022,4.02,44,2,1,1,4,0.667,52,4,16,7,23,25,21,1.45
19940409,2022,7.53,25,4,9,0,0,0.308,106,6,17,7,51,63,63,1.63
19990528,2022,3.78,27,8,9,0,0,0.471,143,13,60,11,138,69,62,1.37
19880828,2022,4.38,26,3,4,9,1,0.429,28,2,8,2,15,13,12,1.46
19931129,2022,3.62,68,3,3,0,10,0.5,75,5,25,3,61,33,32,1.26
19980220,2022,6.05,18,1,0,0,0,1,19,5,5,1,13,14,13,1.24
19890110,2022,8.22,3,0,0,0,0,0,43,0,18,1,8,7,7,2.61
19940603,2022,3.6,11,5,3,0,0,0.625,56,5,24,1,40,29,26,1.23
19891121,2022,3.6,29,9,10,0,0,0.474,162,9,83,10,138,87,66,1.48
19900710,2022,5.48,29,0,0,0,0,0,97,0,6,1,27,17,13,1.45
19840726,2022,4.5,10,0,0,0,1,0,6,0,8,0,8,5,5,1.4
19951130,2022,3.89,28,10,11,0,0,0.476,179,8,32,8,146,80,68,1.34
19920708,2022,5.8,38,1,2,0,1,0.333,51,7,13,1,31,27,26,1.59
19980316,2022,3.98,39,3,8,0,2,0.273,125,5,37,3,123,55,52,1.38
19930614,2022,3.98,43,2,3,17,2,0.4,40,4,16,0,60,21,19,1.3
19850121,2022,3.26,60,4,3,1,16,0.571,55,3,6,4,31,21,17,1.3
19820715,2022,3.32,57,6,2,31,2,0.75,239,8,13,1,51,23,21,1.26
19990922,2022,8.41,6,2,3,0,0,0.4,24,3,12,1,10,19,19,1.77
19891008,2022,2.49,30,6,8,0,0,0.429,151,7,50,4,159,61,48,1.16
19890511,2022,3.04,26,11,8,0,0,0.579,176,10,39,8,117,61,54,1.34
20010518,2022,1.35,8,0,0,0,0,0,5,1,4,0,3,3,1,1.35
19920322,2022,6.3,8,0,0,0,0,0,10,2,5,1,4,7,7,1.5
19870713,2022,5.27,24,4,13,0,0,0.235,154,22,37,9,70,76,73,1.53
19991208,2022,5.91,37,3,3,0,3,0.5,39,2,22,2,32,29,23,1.74
